path,type,subtype,speaker,label
google_speech_commands_v1/bed/d103dd6e_nohash_1.wav,reject,google_speech,d103dd6e,31
synthetics/azure/neural/ita/DiegoNeural_1.wav,synthetic,azure_neural,DiegoNeural,1
google_speech_commands_v1/left/b49caed3_nohash_1.wav,reject,google_speech,b49caed3,31
commands/2143985449/ita/ita_21.wav,command,telegram_bot,2143985449,21
commands/1415529430/ita/ita_30.wav,command,telegram_bot,1415529430,30
google_speech_commands_v1/marvin/80c45ed6_nohash_0.wav,reject,google_speech,80c45ed6,31
google_speech_commands_v1/seven/5f814c23_nohash_1.wav,reject,google_speech,5f814c23,31
google_speech_commands_v1/eight/5fadb538_nohash_0.wav,reject,google_speech,5fadb538,31
synthetics/naturalreaders/neural/ita/fabiana_it_19.wav,synthetic,naturalreaders_neural,fabiana,19
commands/268005350/ita/ita_24.wav,command,telegram_bot,268005350,24
google_speech_commands_v1/tree/cc592808_nohash_0.wav,reject,google_speech,cc592808,31
google_speech_commands_v1/yes/c099668c_nohash_0.wav,reject,google_speech,c099668c,31
google_speech_commands_v1/down/b487da60_nohash_0.wav,reject,google_speech,b487da60,31
google_speech_commands_v1/one/9a69672b_nohash_3.wav,reject,google_speech,9a69672b,31
google_speech_commands_v1/on/c256377f_nohash_0.wav,reject,google_speech,c256377f,31
google_speech_commands_v1/right/283d7a53_nohash_0.wav,reject,google_speech,283d7a53,31
google_speech_commands_v1/two/964e8cfd_nohash_2.wav,reject,google_speech,964e8cfd,31
synthetics/vocalware/neural/ita/engine2_voice4_cmd2.wav,synthetic,vocalware_neural,engine2,2
google_speech_commands_v1/happy/37fc5d97_nohash_1.wav,reject,google_speech,37fc5d97,31
google_speech_commands_v1/three/c22d3f18_nohash_1.wav,reject,google_speech,c22d3f18,31
google_speech_commands_v1/one/a6d586b7_nohash_1.wav,reject,google_speech,a6d586b7,31
synthetics/vocalware/neural/ita/engine2_voice5_cmd30.wav,synthetic,vocalware_neural,engine2,30
google_speech_commands_v1/wow/3aa6f4e2_nohash_1.wav,reject,google_speech,3aa6f4e2,31
google_speech_commands_v1/bed/20d3f11f_nohash_0.wav,reject,google_speech,20d3f11f,31
google_speech_commands_v1/right/cd85758f_nohash_4.wav,reject,google_speech,cd85758f,31
synthetics/vocalware/neural/ita/engine2_voice3_cmd9.wav,synthetic,vocalware_neural,engine2,9
google_speech_commands_v1/nine/f17be97f_nohash_2.wav,reject,google_speech,f17be97f,31
google_speech_commands_v1/two/d5ca80c6_nohash_0.wav,reject,google_speech,d5ca80c6,31
google_speech_commands_v1/five/a1533da4_nohash_0.wav,reject,google_speech,a1533da4,31
commands/1018280957/ita/ita_10.wav,command,telegram_bot,1018280957,10
