path,type,subtype,speaker,label
google_speech_commands_v1/bed/d103dd6e_nohash_1.wav,reject,google_speech,0,31
synthetics/azure/neural/ita/DiegoNeural_1.wav,synthetic,azure_neural,1,1
google_speech_commands_v1/left/b49caed3_nohash_1.wav,reject,google_speech,2,31
commands/2143985449/ita/ita_21.wav,command,telegram_bot,3,21
commands/1415529430/ita/ita_30.wav,command,telegram_bot,4,30
google_speech_commands_v1/marvin/80c45ed6_nohash_0.wav,reject,google_speech,5,31
google_speech_commands_v1/seven/5f814c23_nohash_1.wav,reject,google_speech,6,31
google_speech_commands_v1/eight/5fadb538_nohash_0.wav,reject,google_speech,7,31
synthetics/naturalreaders/neural/ita/fabiana_it_19.wav,synthetic,naturalreaders_neural,8,19
commands/268005350/ita/ita_24.wav,command,telegram_bot,9,24
google_speech_commands_v1/tree/cc592808_nohash_0.wav,reject,google_speech,10,31
google_speech_commands_v1/yes/c099668c_nohash_0.wav,reject,google_speech,11,31
google_speech_commands_v1/down/b487da60_nohash_0.wav,reject,google_speech,12,31
google_speech_commands_v1/one/9a69672b_nohash_3.wav,reject,google_speech,13,31
google_speech_commands_v1/on/c256377f_nohash_0.wav,reject,google_speech,14,31
google_speech_commands_v1/right/283d7a53_nohash_0.wav,reject,google_speech,15,31
google_speech_commands_v1/two/964e8cfd_nohash_2.wav,reject,google_speech,16,31
synthetics/vocalware/neural/ita/engine2_voice4_cmd2.wav,synthetic,vocalware_neural,17,2
google_speech_commands_v1/happy/37fc5d97_nohash_1.wav,reject,google_speech,18,31
google_speech_commands_v1/three/c22d3f18_nohash_1.wav,reject,google_speech,19,31
google_speech_commands_v1/one/a6d586b7_nohash_1.wav,reject,google_speech,20,31
synthetics/vocalware/neural/ita/engine2_voice5_cmd30.wav,synthetic,vocalware_neural,17,30
google_speech_commands_v1/wow/3aa6f4e2_nohash_1.wav,reject,google_speech,21,31
google_speech_commands_v1/bed/20d3f11f_nohash_0.wav,reject,google_speech,22,31
google_speech_commands_v1/right/cd85758f_nohash_4.wav,reject,google_speech,23,31
synthetics/vocalware/neural/ita/engine2_voice3_cmd9.wav,synthetic,vocalware_neural,17,9
google_speech_commands_v1/nine/f17be97f_nohash_2.wav,reject,google_speech,24,31
